	BlankpcrCES	C_Aviemore_LB_1	C_Aviemore_LB_2	C_Aviemore_TY_1	C_Aviemore_TY_2	C_Aviemore_YMA_1	C_Aviemore_YMA_2	C_BruceH_LB_2	C_BruceH_TY_1	C_BruceH_TY_2	C_BruceH_YMA_1	C_BruceH_YMA_2	C_Cedarvale_LB_1	C_Cedarvale_LB_2	C_Cedarvale_TY_1	C_Cedarvale_TY_2	C_Cedarvale_YMA_1	C_Cedarvale_YMA_2	C_Grenadier_LB_1	C_Grenadier_LB_2	C_Grenadier_TY_1	C_Grenadier_TY_2	C_Grenadier_YMA_1	C_Grenadier_YMA_2	C_Humber_LB_1	C_Humber_LB_2	C_Humber_TY_1	C_Humber_TY_2	C_Humber_YMA_1	C_Humber_YMA_2	C_KSR_LB_1	C_KSR_LB_2	C_KSR_TY_1	C_KSR_TY_2	C_KSR_YMA_1	C_KSR_YMA_2	C_Preston_LB_1	C_Preston_LB_2	C_Preston_TY_1	C_Preston_TY_2	C_Preston_YMA_1	C_Preston_YMA_2	C_Rouge_LB_1	C_Rouge_LB_2	C_Rouge_TY_1	C_Rouge_TY_2	C_Rouge_YMA_1	C_Rouge_YMA_2	C_Terracotta_LB_1	C_Terracotta_TY_1	C_Terracotta_TY_2	C_Terracotta_YMA_1	C_Terracotta_YMA_2	D_Aviemore_1_A	D_Aviemore_1_B	D_Aviemore_2_A	D_Aviemore_2_B	D_BruceH_1_A	D_BruceH_1_B	D_BruceH_2_A	D_BruceH_2_B	D_Cedarvale_1_A	D_Cedarvale_1_B	D_Cedarvale_2_A	D_Cedarvale_2_B	D_Cedarvale_3_A	D_Cedarvale_3_B	D_Grenadier_1_A	D_Grenadier_1_B	D_Grenadier_2_A	D_Grenadier_2_B	D_Grenadier_3_A	D_Grenadier_3_B	D_Humber_1_A	D_Humber_1_B	D_Humber_2_A	D_Humber_2_B	D_Humber_3_A	D_Humber_3_B	D_KSR_1_A	D_KSR_1_B	D_KSR_2_A	D_KSR_2_B	D_Preston_1_A	D_Preston_1_B	D_Preston_2_A	D_Preston_2_B	D_Rouge_1_A	D_Rouge_1_B	D_Rouge_2_A	D_Rouge_2_B	D_Terracotta_1_A	D_Terracotta_1_B	D_Terracotta_2_A	D_Terracotta_2_B
1CMET2-PWY	67.18660732079984	41609.76465079854	46222.94912760685	56515.58270341015	53619.71024762049	39402.513813121725	57516.694439111605	46496.41802245696	37940.39331	63719.44196	41376.958315518204	43626.75904591085	31838.565888121706	42611.44139883799	35955.250508691395	32845.51879618354	35832.34589274163	39274.69781297127	53637.28283	45648.45983496663	43591.954469758726	41057.95017087091	37691.09281443115	40170.257910029744	54820.680245945296	39406.760600539375	60314.88445345423	41802.30254901546	75723.7369	43657.087473948086	38360.61275	35471.04599365082	44355.79728148908	49466.80262916863	37181.50371	38347.90018983768	35746.30604193856	40914.690313070816	37472.555814671425	44159.64141228378	32622.67027809666	39165.67364281353	29244.26461233622	45788.27442897676	34098.08529198347	54700.45474282564	34295.95166528453	40333.63227619582	62166.09189934639	56233.413779673414	57442.691789126584	45085.20367245842	67776.06377466454	32430.854796093805	24322.743702813284	28555.69782417294	28235.16218709742	17051.659747041725	14997.125343899852	24810.395442122604	16334.649422540151	4369.589513036577	15461.533776107393	17801.115376082165	5529.0151948479515	41442.32831041147	35607.28952315825	28114.969431743608	19743.3429	26970.750249250577	40115.66369391907	34722.852566794565	41403.92302571962	14304.542248674881	31764.726290250495	33892.49748390495	34729.11281396451	33607.99759384865	34323.64181497174	48644.428414584305	55686.78810779726	62740.84513298679	54405.371469556034	50803.838905873694	45765.57414571989	40658.96239401128	51175.54120001535	19090.443121793076	22428.539266406435	41024.237984922285	48985.28616433966	46602.51535112054	51913.882856427204	53353.39030979425	56765.88677993017
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0	129.35437685931527	619.5545169607033	1490.0640676248222	1923.2010985280058	3545.0430383065077	2211.817547256582	316.8759850918107	4190.521987777522	4343.549888865139	2550.4287584611416	1309.7777792124652	1.0186188224959476	13344.177133380388	1227.2975190926459	5861.007458529973	1298.5779227024525	4561.582388364202	5023.228854345181	382.8338891415704	4701.021441998935	6136.989845172935	6983.973625745995	4838.5052283311725	785.9379576249572	109.52249836785478	1064.7026622688795	3671.709445	10501.704368847384	3941.7602335589713	1990.0335876944462	2353.9997447128294	5633.2741647906505	1633.9500260936775	120.54327506599067	5317.636197040129	1970.3839577087826	359.886951	6212.5487689291285	976.7702345217557	1112.8179952802516	419.7578067579548	358.4971375	3335.617996950139	1513.9004343076497	4466.284819279356	910.9598702571509	3671.590125789442	710.2530743711895	4129.966992137946	1667.0904120929558	2158.6202940222265	1887.1674321159535	1528.3929500599227	670.0791763790454	1493.837171377406	1804.4405701620633	523.7187893087508	292.77300145092755	740.8160496924731	166.78247314557223	109.8951984438836	689.5087739	1775.5761855416208	444.18116517709086	5524.650843156128	1221.1284318744142	2444.336458887875	1701.5417867739718	924.1687170107323	1342.1608037388714	3674.5876569789434	6805.339142215877	295.9221918065059	699.1101288237519	2050.0261866438896	2525.726238175309	2693.8574862415635	1007.2305094735668	1747.6984297083268	4175.118043443586	5944.505565957793	5615.240764090027	1740.761722	1888.6565031606713	700.0558508806665	973.4647472633711	640.2866999318355	512.0329058	2383.677062491916	2789.952609699402	3033.803376303397	3562.1723910319565	6350.712586	11974.413096316259
AEROBACTINSYN-PWY	0	0	0	0	0	0	47.67840273357677	63.18104990020162	0	0	11.98787809403232	0	0	0	0	0	0	0	0	3119.105249604319	0	248.41008870539181	0	429.02061748338406	0	6055.478175915751	0	387.07497451247116	0	84.37448219	0	0	23.884615384615387	0	0	0	0	0	0	6.663933754201852	0	0	0	0	0	0	0	0	0	0	0	0	0	70.26027063269535	83.84001262227832	43.96048916480365	68.59808726	35.02915049450282	107.03903903903903	16.465958246225878	8.643859741458536	3.165660630449363	17.65476651436537	64.57483526827737	0	44.92013079413885	32.42112949145886	79.15735464505374	22.342810013584323	127.25188570787651	239.91633060296107	76.10939844656697	195.40495602233023	9.185387799172215	42.09700583714778	38.14956098280823	17.03547805171377	20.444442902829714	37.56852245834629	306.1113430338027	487.45508631323816	523.4906331356458	501.95701712578824	105.00452519620329	66.09136988789275	65.72768403	304.53069062893394	35.271971586186055	16.365198711063375	50.318050961310504	37.85371265349843	62.374578408770255	98.71451748470456	83.25580121426071	92.73153043113156
ALL-CHORISMATE-PWY	26.64104839	44179.54123322308	31873.056707218446	42790.84764498539	16764.521489305895	31728.77440524408	27635.193615921868	31971.592936392728	19909.84269344877	19230.290641590982	28207.748131874796	33978.92812	34875.97547267828	35659.78002622718	29642.79575892875	32577.375936131873	35986.12695135438	38128.955472511516	20614.04824504036	32347.53040285543	20224.21552571887	25196.45143626254	21993.987831020062	32619.161343004136	31712.003478055303	32093.37769856364	31709.445875400343	30387.676240110777	10957.210135226902	34074.42734812653	34043.48528222505	33317.32667811471	30464.78803615296	25482.380351862354	38381.712819392684	31940.001945668333	33817.78269066475	26751.607456338712	34082.42287885464	28999.846133080107	32045.043508050858	31965.138525167902	29068.07891208637	27023.41387266761	34665.77333008622	27190.58122834093	35939.17173717226	29818.743937677333	16378.765684269627	23222.611923021654	28345.721401470648	31811.467204017918	30533.04316	5103.085423461528	4235.247574745447	2269.8492546356306	2188.842434387584	2001.4841813567605	879.8655252	2703.794627702419	1196.4580812977347	406.9182225930064	2046.2013893308492	3868.5279579424077	222.27274331865146	6863.360043407536	6566.053248	4519.238514734114	2692.873299486357	6652.333713507286	10726.652340199978	9833.907631437518	11592.782438170698	1846.0604011997273	7024.754836160092	6414.45117	7704.908584662332	3662.9910258700043	5036.525087230038	6470.800744	9646.180208650298	11879.175511132034	10077.989935655407	11717.775165487248	9667.19017	13040.44338749479	15245.263052525572	2809.6298675854523	4805.724881515755	12748.329147113516	13222.94361229285	7140.811990069056	9421.777025832505	14619.302376768592	13275.919870452588
ANAEROFRUCAT-PWY	185.8830538074609	44816.212576512095	38849.91204422171	51819.348692863634	44974.80903651429	37180.86621637517	46463.15218771205	39777.78271	27918.815284870445	46986.8717	34605.17512136711	42190.45124328197	35272.26137633423	40832.81692913106	32295.89198799044	34083.116713710166	37700.680603629255	40568.14947805481	33055.07992039085	28289.954604362545	43041.891646624164	36255.440442366205	30666.941961680925	39323.85256954423	48954.39150763644	32030.243432737734	87082.70060046848	45449.99825137015	52297.905131342464	39086.18412613118	36922.22495	36442.61053273791	35039.54231686176	45575.68186818836	39455.18295662223	37532.10923630967	41683.26532883937	32917.36349956783	39714.10110311782	44399.69542786308	56713.75291221655	37813.73472624707	31323.871127643986	36630.511270649826	39579.23952977243	41005.47196680057	36815.61546350046	35806.39315744561	21549.99436256823	80031.13944208769	53016.772333847075	40000.750085412066	66766.04407814985	30775.974147379944	30256.976726048237	28645.492350358167	28907.417862946855	23563.79341002959	21393.736387532917	31996.468986714146	21830.936789794756	4514.050048	17921.831594838055	32901.91878	20743.423284947625	37699.850636143616	34399.46551019997	27775.767914423315	19472.078806071266	31772.052479947815	42591.72522	39347.27163385911	43356.68058250924	15913.270736319304	40283.83183026187	36460.9804	39240.89978020464	28021.221789980824	33257.71336127921	52682.663970168294	53106.537729221745	56910.03742344491	48757.58199965843	55367.65784756222	45764.34396392115	44447.11013053259	50102.72507852978	21007.406057627682	28574.13254397028	42560.42951572699	48722.51305208834	48963.91206569095	51612.608190029794	58464.37667369855	55916.814379171155
ANAGLYCOLYSIS-PWY	197.16271568634053	42313.80871934355	42010.91715301169	55426.04957361304	46559.83044767476	39923.38464	47753.19968	41712.49815868548	28458.258520108026	49811.78070729036	36139.21645857221	43236.57737505517	33147.61429333613	41827.20326038953	31937.48090400743	32993.775175218194	36529.27711117217	39451.23404966419	33926.02346221784	35131.74538581908	45137.206055377435	40426.65689412065	32045.84986764084	40409.45425501116	55036.61408347675	39228.176018474805	82682.54339	45529.715694580766	64332.347	42841.51617	36900.45487	35835.66226194062	43188.15130121833	47271.638825427144	37913.50780811415	38460.32172903294	44437.212431940585	32897.319818176555	39316.86374143268	46075.03267	54819.717284986495	38255.25110211339	31785.445214413052	38776.25529455756	38606.87128214235	42502.69052	34912.98898657417	36121.03577729948	32418.944413008783	75974.90617348773	52676.91845538901	40876.17677744982	71047.84825407735	47423.292913835925	66979.60378131687	68066.47223	69942.55496388765	67241.56400183453	67894.27601905819	79688.35666920705	59212.31604419506	63891.808566095446	64144.09832593093	44245.86556438183	64767.704214116355	54277.03254577451	53493.61915797695	57347.015359117446	55336.237980218946	67460.84361054173	66785.98247721374	62628.53904063263	53951.892325493005	65632.84538454273	63540.741738457036	60544.69294096391	60281.60324086624	68354.36392545991	63818.55857820263	58989.54765781199	56589.670798535146	62183.52454141023	53953.412200592385	65080.625652533316	52145.626556593066	53806.05714706055	61269.88790227437	68498.15972049993	52660.69497105406	54917.011849087125	62688.758074744095	69227.05612927293	68296.94630751654	67914.46436	61503.00970513307
ARG+POLYAMINE-SYN	24.36953758193239	40113.69931486284	29319.02795246655	31335.398610054155	33902.00186627102	32451.573131135818	37625.93617097752	24996.025809544513	21251.11669696846	28956.919246345806	28955.61082637533	33511.798208389424	31622.72273748657	35152.36826596951	28448.954616178995	30033.750940814924	33360.71725785347	34865.570184455006	24452.981304056193	24265.34070518723	27631.10203	28393.99803550144	23669.310055899947	33489.68580659369	40579.46493056253	25474.24929004949	53518.939467496035	33491.49230704934	48247.37840124693	33597.98969539566	31615.527959346884	31239.622321235365	34261.13300004449	29012.60213952945	35156.72794937052	31632.248936971286	30744.296879255962	17666.705206671904	33205.84682234471	28345.88397205891	29047.150590264257	27598.822787007044	25965.872069678295	21869.340976527605	33593.92469706524	21947.956527416572	33096.536909585564	25922.18551358786	11382.097712185205	51695.816193437655	31045.298821128657	34396.63933620695	44753.75579145053	19008.02431815617	13482.903989552196	15624.427471901803	14984.442672150068	8584.510794640875	8158.950036935211	11697.778015019345	7599.169739900089	946.2258347867839	4825.076160750689	8514.788730613056	2223.993390899663	22913.055107561588	20616.385315270374	17258.211938846183	11813.870190585101	15521.252419490915	24847.669866990356	19528.954978990285	23883.15263109973	7178.694190509637	20779.33235700042	20049.23762199675	21030.48765347036	17119.863548966805	18526.105795479558	25780.065355914143	29561.379242769242	35461.34172833705	30209.52804284051	31689.296837198126	27933.846318586773	23986.374184100787	29286.819589260966	10797.68235419138	12795.780901336762	21184.35341399999	24402.00942400568	24599.480778044675	28446.26573900652	33811.13204002064	35901.719523674685
ARGDEG-PWY	12.18732030602797	625.6009360636284	9465.287268391277	0	3692.2447680302266	49.45777772105512	7629.669470779176	1103.9508304538147	4133.411429221473	11268.90085860216	6951.504616685039	12472.929857439365	34.03176611998394	1238.2320336654097	59.45401026779626	505.13591394807935	0	1439.3047450980537	9854.918851468827	442.95755866035637	7621.079223663602	4826.919175202883	10210.244752577599	6313.536799642749	24808.43135	34.844143315345285	9125.074374	2320.9626973020063	25431.602400034924	7528.1425180960205	0	261.6424886042613	378.70342990363133	16973.585780882542	474.80342233761877	97.63041902292684	3432.128935411642	2736.422757	5683.638607952081	5917.779589177424	2041.7158033303297	6042.095774546044	232.1806225675043	3969.3615731848467	1752.4260821565942	7731.974492187929	351.26353984882024	5628.521751	1544.5608774038872	1154.6562498298917	21387.06332657228	1203.8916545630289	36433.72189851533	161.52878018622428	25.439184918653208	45.66158268922449	71.12472915218198	42.36544101379054	18.637246501175802	75.18641891420144	60.65278948864665	24.503459662984586	142.5337507577411	20.88258568	0	74.16547181626699	52.081517399137965	31.68989286873999	61.33371480996134	7.349627079514534	15.469828563968116	297.7221198266087	207.32355133174386	16.924708326649387	233.01293919769878	58.40247615	83.57685680603566	70.16260856664576	48.18280024405584	131.85032755067198	194.6058601888913	371.92304335901304	296.6888434812917	76.77994178403424	160.70307902936472	119.21210448510278	110.70490776731602	0	45.25597207353201	133.86159331038934	80.40121104324045	115.91326638447664	109.35165612449977	167.1710912060589	160.75349924746524
ARGORNPROST-PWY	65.83385909568875	1836.8377817054154	23331.763086534265	14832.271763213468	17136.591628014536	6486.088952	27830.946048583697	23324.175321535928	20782.975470943962	9878.259478731105	16840.64853957693	13044.980665089442	1836.0508708090836	10490.72892130504	16223.165589303542	8006.780547747925	5165.670284504315	8389.916409082309	29790.388761623206	1206.4182460774655	9422.109058800785	8070.656611393458	12744.956411653617	10541.392949368299	20301.72995109566	26035.976767117594	6256.308119695002	9904.681613735092	31240.222145599768	12391.20011416328	9404.019112188515	6243.0618632758005	8904.636055527406	6161.757703	4838.061593425059	5287.692248117251	25112.047669151543	3754.2751419214665	11934.756467666575	7898.853088	40267.37524	6025.743493918591	13270.52361298925	15839.524658532673	6711.537496505048	12429.588228825613	5233.389613431355	11179.533690894918	8404.437224700961	12080.028969617646	6572.657157346617	18126.65859103463	9475.867055	1406.6636891020785	793.2849826094879	217.40827458295178	318.92909224838394	294.4548615994491	91.22175294327643	464.0380584723415	545.0000363301659	207.53718058398647	663.1402045692987	1546.8070227365283	76.47246409706709	2744.9635204245174	1323.5244483003282	784.4098268575294	428.22738045275224	833.5180144387012	1795.6463633408655	1583.780032439715	2333.243720147964	340.0933145270979	877.5115799885309	771.8125045592556	905.5777587425567	1184.9252665669103	960.2182025820765	2983.644613271535	4187.643204	3551.287375	2900.298604644312	1488.227430752033	1125.6873983832122	2837.8424662027764	4442.5665730913715	316.17845681968475	595.1578244827532	4341.300486401027	3869.539168149083	1845.6111287362032	1884.537036594374	3870.8613968520062	3670.3754173794478
ARGSYN-PWY	174.6861460957179	41672.08837956525	43812.59221208158	58494.76057342523	45310.51564136117	37569.319662696886	52065.184089592854	46080.92855071844	36955.07639	46461.755174565464	39193.03522535954	40640.21134841078	32629.373941408026	42988.34267338266	38488.255765066926	33129.74083	35924.23200391198	38966.57682189835	53203.586554048015	51263.902248864055	42646.235092442475	38399.44674697118	35690.45349	39152.98328524697	54001.786858264495	42972.386987734026	72177.62283609556	42787.493805570666	72618.84106212064	41378.49999667028	38054.01296573157	35447.69592291104	44197.44915206532	42758.17219444073	37485.903992202744	38246.89853432285	40459.58827352824	33991.72655417737	37539.92574630783	41273.94680677399	47866.59341067673	36298.03339072176	31325.08991185127	40883.49458838478	36358.94941871887	43811.25135672221	34927.25279242262	37109.175597507296	40227.49680372999	68230.78003840068	49203.44829546206	44496.36872725143	61733.266464082524	39766.48343	60096.74429117832	60162.59797936125	61838.024459702094	60666.772229889735	61649.19169379417	71416.14315784576	53056.781594001506	57884.08546583512	57701.51549999858	39724.71592430142	59148.55789	42633.67308239795	44609.51527623844	49505.10985862812	48549.59756575772	59286.17802483843	56526.79217	53877.297277704114	43553.67861586999	59077.34754875727	56681.57765198076	52170.319205904125	51983.10290740602	59927.73280132734	55086.00712195126	53863.979222520255	48107.97293937841	54253.47371761588	46610.65327501501	56694.62839065149	44289.767250190525	45922.13495553024	51273.91776195709	61170.40931481017	47091.421062188194	45098.08199423469	51145.02132092907	59681.59707545451	57508.09898218574	57785.50734371051	50893.56833339217
